City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Haines Junction,CA,2023-04-04 21:19:47,60.7522,-137.5108,35.55,32,100,0.0
150,Bathsheba,BB,2023-04-04 21:19:47,13.2167,-59.5167,83.01,61,20,20.71
151,Bandarbeyla,SO,2023-04-04 21:19:47,9.4942,50.8122,80.78,64,3,10.13
152,Puerto Ayora,EC,2023-04-04 21:19:48,-0.7393,-90.3518,85.96,86,80,5.99
153,Aripuana,BR,2023-04-04 21:19:31,-9.1667,-60.6333,77.38,96,99,2.62
154,Necochea,AR,2023-04-04 21:19:48,-38.5473,-58.7368,61.41,62,0,11.92
155,Aswan,EG,2023-04-04 21:19:48,24.0934,32.907,79.34,8,81,9.08
156,Arraial Do Cabo,BR,2023-04-04 21:19:49,-22.9661,-42.0278,76.86,78,0,11.5
157,Pietarsaari,FI,2023-04-04 21:19:49,63.65,22.6833,24.01,87,68,2.77
158,Ruteng,ID,2023-04-04 21:19:49,-8.6136,120.4721,60.37,90,100,1.52
159,Namatanai,PG,2023-04-04 21:17:44,-3.6667,152.4333,79.83,80,99,3.11
160,Goderich,CA,2023-04-04 21:16:14,43.7501,-81.7165,57.52,58,100,10.36
161,Maiduguri,NG,2023-04-04 21:19:49,11.8464,13.1603,87.01,8,100,8.43
162,Cedar City,US,2023-04-04 21:18:05,37.6775,-113.0619,29.37,37,0,4.61
163,Muros,ES,2023-04-04 21:19:50,42.7762,-9.0603,52.68,64,7,10.94
164,Bolzano,IT,2023-04-04 21:19:50,46.4927,11.3336,44.44,38,0,3.98
165,Naze,JP,2023-04-04 21:19:50,28.3667,129.4833,65.32,68,91,18.52
166,Hofn,IS,2023-04-04 21:19:50,64.2539,-15.2082,43.59,96,100,10.69
167,Deder,ET,2023-04-04 21:19:51,9.3167,41.45,57.27,84,42,4.54
168,Shubarkuduk,KZ,2023-04-04 21:19:51,49.1447,56.4872,47.37,44,24,7.85
169,Pisco,PE,2023-04-04 21:19:51,-13.7,-76.2167,82.45,65,0,14.97
170,Guerrero Negro,MX,2023-04-04 21:19:51,27.9769,-114.0611,64.18,40,16,16.96
171,Saint Anthony,US,2023-04-04 21:15:15,45.0205,-93.218,36.84,92,100,16.11
172,Pochutla,MX,2023-04-04 21:16:35,15.7432,-96.4661,94.82,47,100,11.95
173,Lagoa,PT,2023-04-04 21:19:52,39.05,-27.9833,58.84,70,40,12.08
174,Patiala,IN,2023-04-04 21:19:52,30.3267,76.4003,65.66,51,0,4.74
175,Port Elizabeth,ZA,2023-04-04 21:19:53,-33.918,25.5701,61.32,91,44,2.3
176,Tezu,IN,2023-04-04 21:19:10,27.9167,96.1667,63.54,84,100,4.92
177,Maniitsoq,GL,2023-04-04 21:17:48,65.4167,-52.9,29.14,59,9,10.58
178,Portadown,GB,2023-04-04 21:19:53,54.4241,-6.4412,49.82,92,100,12.97
179,Thunder Bay,CA,2023-04-04 21:19:36,48.4001,-89.3168,24.71,46,100,20.71
180,Warri,NG,2023-04-04 21:19:53,5.5167,5.75,79.3,81,100,4.41
181,Nouakchott,MR,2023-04-04 21:17:45,18.0858,-15.9785,78.73,41,22,18.97
182,Spornoye,RU,2023-04-04 21:19:54,50.8448,37.2913,47.26,81,94,4.94
183,Prince Rupert,CA,2023-04-04 21:15:15,54.3161,-130.3201,41.27,62,100,5.19
184,Yar-Sale,RU,2023-04-04 21:19:54,66.8333,70.8333,12.63,91,68,15.97
185,Kushmurun,KZ,2023-04-04 21:19:54,52.4503,64.6311,36.34,72,36,5.57
186,Tantoyuca,MX,2023-04-04 21:18:42,21.35,-98.2333,104.81,22,82,7.36
187,Provideniya,RU,2023-04-04 21:19:54,64.3833,-173.3,5.11,72,75,4.47
188,Luderitz,NA,2023-04-04 21:19:55,-26.6481,15.1594,73.9,39,0,10.31
189,Isangel,VU,2023-04-04 21:18:46,-19.55,169.2667,84.31,79,40,2.3
190,Srednekolymsk,RU,2023-04-04 21:19:55,67.45,153.6833,1.76,81,83,4.97
191,San Patricio,US,2023-04-04 21:18:47,28.017,-97.5169,86.09,62,100,20.33
192,Zhezkazgan,KZ,2023-04-04 21:19:55,47.8043,67.7144,35.58,41,40,13.42
193,Srandakan,ID,2023-04-04 21:19:55,-7.9386,110.2506,75.81,88,100,3.69
194,Aklavik,CA,2023-04-04 21:19:55,68.2191,-135.0107,21.34,82,100,1.99
195,Sandnessjoen,NO,2023-04-04 21:19:56,66.0217,12.6316,35.71,86,75,3.44
196,Clyde River,CA,2023-04-04 21:19:56,70.4692,-68.5914,-3.77,71,0,3.44
197,Oksfjord,NO,2023-04-04 21:19:57,70.2396,22.3479,35.78,99,100,3.24
198,Esperance,AU,2023-04-04 21:19:57,-33.8667,121.9,58.84,76,3,15.59
199,Ust-Nera,RU,2023-04-04 21:19:57,64.5667,143.2,11.71,95,100,4.18
200,Tromso,NO,2023-04-04 21:19:58,69.6496,18.957,35.62,87,75,11.5
201,Tura,IN,2023-04-04 21:19:58,25.5198,90.2201,68.13,84,56,4.45
202,Buzmeyin,TM,2023-04-04 21:19:58,38.0507,58.2056,49.73,71,18,4.61
203,Brae,GB,2023-04-04 21:19:58,60.3964,-1.353,43.79,91,60,18.28
204,Norman Wells,CA,2023-04-04 21:19:59,65.282,-126.8329,28.44,43,40,13.8
205,Margate,GB,2023-04-04 21:18:25,51.3813,1.3862,42.69,74,4,1.99
206,Menongue,AO,2023-04-04 21:19:59,-14.6585,17.691,62.37,87,87,5.03
207,Kodiak,US,2023-04-04 21:19:59,57.79,-152.4072,38.71,87,100,4.61
208,Bereda,ES,2023-04-04 21:19:59,43.2686,-7.5406,44.58,100,5,5.08
209,Balakhninskiy,RU,2023-04-04 21:20:00,58.0106,114.2769,1.44,100,92,1.54
210,Charters Towers,AU,2023-04-04 21:20:00,-20.1,146.2667,71.83,92,62,5.82
211,Mampong,GH,2023-04-04 21:20:00,7.0627,-1.4001,77.92,70,73,3.42
212,Olafsvik,IS,2023-04-04 21:20:00,64.8945,-23.7142,42.17,89,100,16.2
213,Dwarka,IN,2023-04-04 21:20:01,22.2394,68.9678,76.24,82,2,9.66
214,Chapais,CA,2023-04-04 21:17:40,49.7834,-74.8492,20.98,70,100,10.31
215,Yangjiang,CN,2023-04-04 21:20:01,21.85,111.9667,74.28,98,82,7.05
216,Kytmanovo,RU,2023-04-04 21:20:02,53.4593,85.4479,26.08,96,70,5.23
217,Southbridge,US,2023-04-04 21:20:02,42.0751,-72.0334,71.26,59,96,3.0
218,Calabozo,VE,2023-04-04 21:15:06,8.9242,-67.4293,98.83,22,2,7.99
219,Toamasina,MG,2023-04-04 21:20:02,-18.1667,49.3833,76.82,83,99,1.88
220,Polunochnoye,RU,2023-04-04 21:20:03,60.8697,60.4153,31.48,99,100,3.78
221,Ancud,CL,2023-04-04 21:20:03,-41.8697,-73.8203,59.22,75,97,3.78
222,Manbij,SY,2023-04-04 21:20:03,36.5281,37.9549,59.67,49,4,4.54
223,Vao,NC,2023-04-04 21:20:03,-22.6667,167.4833,78.58,83,93,15.5
224,Wewak,PG,2023-04-04 21:20:04,-3.5534,143.6268,76.77,89,94,6.02
225,East London,ZA,2023-04-04 21:20:04,-33.0153,27.9116,65.68,80,3,4.92
226,Ribeira Grande,PT,2023-04-04 21:20:04,38.5167,-28.7,56.77,74,25,5.01
227,Sibolga,ID,2023-04-04 21:20:05,1.7427,98.7792,75.81,89,99,1.16
228,Borzya,RU,2023-04-04 21:20:05,50.3833,116.5167,22.82,70,18,5.77
229,Ayan,RU,2023-04-04 21:20:06,56.45,138.1667,12.33,80,17,8.39
230,Moranbah,AU,2023-04-04 21:20:06,-22.0016,148.0466,72.05,79,2,4.25
231,Usakos,NA,2023-04-04 21:20:07,-22.0,15.6,75.96,31,61,0.2
232,La Palma,US,2023-04-04 21:20:07,33.8464,-118.0467,67.96,32,20,12.66
233,Merrill,US,2023-04-04 21:16:31,45.1805,-89.6835,35.37,95,100,19.57
234,Curuca,BR,2023-04-04 21:20:08,-0.7289,-47.8481,76.68,90,78,5.1
235,Ust-Kuyga,RU,2023-04-04 21:20:08,70.0167,135.6,12.56,95,100,5.44
236,Walvis Bay,NA,2023-04-04 21:20:08,-22.9575,14.5053,65.35,77,58,2.3
237,Shingu,JP,2023-04-04 21:19:08,33.7333,135.9833,54.5,75,100,3.49
238,Dmitrovsk-Orlovskiy,RU,2023-04-04 21:20:09,52.505,35.1464,46.71,82,99,6.89
239,Benguela,AO,2023-04-04 21:20:09,-12.5763,13.4055,79.97,83,100,3.67
240,Itapecerica,BR,2023-04-04 21:20:09,-20.4725,-45.1256,67.68,86,34,1.86
241,Dingle,PH,2023-04-04 21:20:09,10.9995,122.6711,73.71,84,100,6.29
242,Cabedelo,BR,2023-04-04 21:20:09,-6.9811,-34.8339,79.47,84,72,11.16
243,Dryden,CA,2023-04-04 21:15:14,49.7833,-92.7503,26.37,70,100,11.7
244,Faanui,PF,2023-04-04 21:20:10,-16.4833,-151.75,82.04,75,59,7.52
245,Muzhi,RU,2023-04-04 21:20:10,65.3667,64.6667,15.76,94,93,7.7
246,Klaksvik,FO,2023-04-04 21:20:10,62.2266,-6.589,47.32,96,100,32.21
247,Kyra,RU,2023-04-04 21:20:11,49.5776,111.9753,16.68,81,22,3.29
248,Bethel,US,2023-04-04 21:17:24,41.3712,-73.414,74.64,57,0,12.66
249,Seoul,KR,2023-04-04 21:18:13,37.5683,126.9778,54.97,94,100,12.66
250,Praia,CV,2023-04-04 21:20:11,14.9215,-23.5087,72.72,83,79,13.82
251,Bonga,ET,2023-04-04 21:20:12,7.2833,36.2333,61.9,91,93,2.84
252,Araouane,ML,2023-04-04 21:20:12,18.9048,-3.5265,81.97,4,52,9.86
253,Isiro,CD,2023-04-04 21:20:12,2.7739,27.616,69.37,67,82,3.42
254,Noumea,NC,2023-04-04 21:17:07,-22.2763,166.4572,81.0,99,100,5.03
255,Gornopravdinsk,RU,2023-04-04 21:20:13,60.05,69.9,30.11,92,100,6.78
256,Azatan,AM,2023-04-04 21:20:13,40.7196,43.8273,39.52,81,20,3.44
257,Baglung,NP,2023-04-04 21:20:13,28.2719,83.5898,57.45,59,25,6.13
258,Meulaboh,ID,2023-04-04 21:19:40,4.1363,96.1285,76.23,89,100,2.73
259,Kashi,CN,2023-04-04 21:20:15,39.4547,75.9797,42.01,20,40,8.95
260,Benghazi,LY,2023-04-04 21:20:15,32.1167,20.0667,61.3,67,0,11.86
261,Puerto Del Rosario,ES,2023-04-04 21:20:15,28.5004,-13.8627,65.95,55,40,16.11
262,Egvekinot,RU,2023-04-04 21:16:37,66.3167,-179.1667,-8.66,90,96,2.04
263,Fukagawa,JP,2023-04-04 21:20:16,43.7081,142.0392,40.8,78,100,1.9
264,Iranshahr,IR,2023-04-04 21:20:16,27.2025,60.6848,70.14,28,0,4.61
265,Ternate,ID,2023-04-04 21:20:16,0.8,127.4,79.65,83,100,14.29
266,Bundaberg,AU,2023-04-04 21:20:16,-24.85,152.35,71.22,95,2,1.99
267,Fayaoue,NC,2023-04-04 21:20:16,-20.65,166.5333,81.16,78,100,8.75
268,Salalah,OM,2023-04-04 21:20:17,17.0151,54.0924,82.49,54,0,2.3
269,Caucaia,BR,2023-04-04 21:20:17,-3.7361,-38.6531,80.55,83,75,3.44
270,Pervomayskoye,RU,2023-04-04 21:20:17,43.919,46.7102,45.25,76,7,11.86
271,Leh,IN,2023-04-04 21:20:18,34.1667,77.5833,18.48,88,97,4.32
272,Troina,IT,2023-04-04 21:20:18,37.7854,14.5985,35.91,89,2,3.65
273,Japura,ID,2023-04-04 21:20:18,-0.3167,102.35,73.17,99,77,1.7
274,Greensburg,US,2023-04-04 21:15:48,40.3015,-79.5389,77.25,53,0,8.05
275,Bonavista,CA,2023-04-04 21:20:19,48.6499,-53.1147,34.5,85,66,15.99
276,Shirokiy,RU,2023-04-04 21:20:19,49.758,129.523,27.68,46,0,6.71
277,Port Hardy,CA,2023-04-04 21:20:19,50.6996,-127.4199,44.78,70,40,9.22
278,Hurghada,EG,2023-04-04 21:20:19,27.2574,33.8129,73.9,24,30,6.46
279,Mufulira,ZM,2023-04-04 21:20:20,-12.5498,28.2407,61.29,97,64,3.62
280,Alofi,NU,2023-04-04 21:20:20,-19.0595,-169.9187,84.09,74,75,8.05
281,Sao Joao Da Barra,BR,2023-04-04 21:20:20,-21.6403,-41.0511,77.09,80,19,9.53
282,Indiaroba,BR,2023-04-04 21:20:20,-11.5192,-37.5117,76.78,83,34,4.65
283,Bentiu,SS,2023-04-04 21:20:20,9.2333,29.8333,86.76,16,55,4.07
284,Weiden,DE,2023-04-04 21:20:21,49.6775,12.1567,32.22,64,75,0.0
285,Cordele,US,2023-04-04 21:20:21,31.9635,-83.7824,85.44,62,100,8.05
286,Katsuura,JP,2023-04-04 21:20:22,35.1333,140.3,56.5,57,39,5.37
287,Shirvan,AZ,2023-04-04 21:20:22,39.9509,48.8994,51.49,78,9,5.88
288,Avarua,CK,2023-04-04 21:20:23,-21.2078,-159.775,80.65,69,75,4.61
289,Abu Samrah,SY,2023-04-04 21:20:23,35.3029,37.1841,60.91,38,3,9.73
290,Nigel,ZA,2023-04-04 21:20:23,-26.4314,28.4771,59.38,86,0,6.38
291,Solnechnyy,RU,2023-04-04 21:20:23,50.7214,136.6319,27.91,53,0,6.62
292,Khatanga,RU,2023-04-04 21:20:24,71.9667,102.5,-20.42,100,96,8.1
293,Itaituba,BR,2023-04-04 21:20:24,-4.2761,-55.9836,89.76,58,40,4.61
294,Dawei,MM,2023-04-04 21:20:24,14.0833,98.2,71.82,92,14,2.66
